"host_id","host_url","host_name","num_of_perfect_reviews"
213410,"https://www.airbnb.com/users/show/213410","Evrim",43
399217271,"https://www.airbnb.com/users/show/399217271","Eyup",43
15384533,"https://www.airbnb.com/users/show/15384533","Nida",43
3242426,"https://www.airbnb.com/users/show/3242426","Kadir",43
42095128,"https://www.airbnb.com/users/show/42095128","Ercan",43
4593728,"https://www.airbnb.com/users/show/4593728","Aslan Ozcakir",43
26618301,"https://www.airbnb.com/users/show/26618301","BeyazıtHan Suites",42
41393568,"https://www.airbnb.com/users/show/41393568","Enis",42
36618058,"https://www.airbnb.com/users/show/36618058","Mehmet Cevat",42
41042847,"https://www.airbnb.com/users/show/41042847","Yasemin",42
309693640,"https://www.airbnb.com/users/show/309693640","Ismail",42
6047256,"https://www.airbnb.com/users/show/6047256","Flats Company",42
34494372,"https://www.airbnb.com/users/show/34494372","Antique",42
163723328,"https://www.airbnb.com/users/show/163723328","Kemal",42
256203477,"https://www.airbnb.com/users/show/256203477","Samet",42
209273081,"https://www.airbnb.com/users/show/209273081","Mehmet Nafiz",41
8061041,"https://www.airbnb.com/users/show/8061041","Melis",41
406677304,"https://www.airbnb.com/users/show/406677304","Merve-Ahmet",41
281670956,"https://www.airbnb.com/users/show/281670956","Selim",41
244158557,"https://www.airbnb.com/users/show/244158557","Gülşen",41
2781217,"https://www.airbnb.com/users/show/2781217","Fatma",41
41657344,"https://www.airbnb.com/users/show/41657344","Can Serbay",41
20080579,"https://www.airbnb.com/users/show/20080579","Eddie",40
23182045,"https://www.airbnb.com/users/show/23182045","Emre & Hande",40
8602558,"https://www.airbnb.com/users/show/8602558","Yaşar",40
33104525,"https://www.airbnb.com/users/show/33104525","Yavuz",40
10326765,"https://www.airbnb.com/users/show/10326765","Mehmet",40
23037290,"https://www.airbnb.com/users/show/23037290","Ömer",39
6440444,"https://www.airbnb.com/users/show/6440444","Oytun",39
34977732,"https://www.airbnb.com/users/show/34977732","Mustafa",39
267313392,"https://www.airbnb.com/users/show/267313392","Ulaş",39
2541656,"https://www.airbnb.com/users/show/2541656","Başak",39
358294300,"https://www.airbnb.com/users/show/358294300","Mustafa",39
2057739,"https://www.airbnb.com/users/show/2057739","Mehmet",39
34334297,"https://www.airbnb.com/users/show/34334297","Ertan",39
11196344,"https://www.airbnb.com/users/show/11196344","Yüksel",38
189516806,"https://www.airbnb.com/users/show/189516806","Meroddi Pera",38
50384268,"https://www.airbnb.com/users/show/50384268","Murat",38
6347560,"https://www.airbnb.com/users/show/6347560","Esra",38
21086972,"https://www.airbnb.com/users/show/21086972","Kerim",38
228184965,"https://www.airbnb.com/users/show/228184965","Medar",38
383783486,"https://www.airbnb.com/users/show/383783486","Erhan",38
289162232,"https://www.airbnb.com/users/show/289162232","Oktay & Derya",37
407606053,"https://www.airbnb.com/users/show/407606053","Ying Shan",37
21881710,"https://www.airbnb.com/users/show/21881710","Ali",37
