"host_id","host_url","host_name","num_of_dirty_reviews"
13520466,"https://www.airbnb.com/users/show/13520466","Bedirhan",3
45723682,"https://www.airbnb.com/users/show/45723682","Levent",2
32525422,"https://www.airbnb.com/users/show/32525422","Melisa",2
379967946,"https://www.airbnb.com/users/show/379967946","Mehmet",2
420056778,"https://www.airbnb.com/users/show/420056778","Yaqota",2
377619334,"https://www.airbnb.com/users/show/377619334","Elçin",2
325818489,"https://www.airbnb.com/users/show/325818489","Khalid",2
34205117,"https://www.airbnb.com/users/show/34205117","Araz",2
231770788,"https://www.airbnb.com/users/show/231770788","Cihan",2
19740390,"https://www.airbnb.com/users/show/19740390","Okan",2
422019443,"https://www.airbnb.com/users/show/422019443","Sukı",2
55246917,"https://www.airbnb.com/users/show/55246917","Ciwan",2
17595373,"https://www.airbnb.com/users/show/17595373","Aral",2
233974632,"https://www.airbnb.com/users/show/233974632","Al",2
179578447,"https://www.airbnb.com/users/show/179578447","Volkan",2
56564764,"https://www.airbnb.com/users/show/56564764","Otel",2
17372095,"https://www.airbnb.com/users/show/17372095","Emilio",2
178160433,"https://www.airbnb.com/users/show/178160433","Element",2
425734912,"https://www.airbnb.com/users/show/425734912","Ayberk",2
375498119,"https://www.airbnb.com/users/show/375498119","Kenan",2
3785798,"https://www.airbnb.com/users/show/3785798","Miko And Roza",2
174415420,"https://www.airbnb.com/users/show/174415420","Emre",2
44656879,"https://www.airbnb.com/users/show/44656879","Çınar",2
374173980,"https://www.airbnb.com/users/show/374173980","Kent Suites",2
172309900,"https://www.airbnb.com/users/show/172309900","Tahsin",2
427998831,"https://www.airbnb.com/users/show/427998831","Yigit",2
368372295,"https://www.airbnb.com/users/show/368372295","Musa",2
170585773,"https://www.airbnb.com/users/show/170585773","Tuğba & Aytaç",2
367191883,"https://www.airbnb.com/users/show/367191883","Dindar",2
60271729,"https://www.airbnb.com/users/show/60271729","Sara",2
43170299,"https://www.airbnb.com/users/show/43170299","Matt",2
365702309,"https://www.airbnb.com/users/show/365702309","Emrah",2
